Frame,Cell,Intensity_nucleus,Intensity_cytoplasm,Ratio_cytoplasm_div_nucleus,Key,Sample
0,1,305.507786429366,169.16086956521738,0.5537039547904542,ERK,ERK_example
0,2,479.5719654265314,164.96219621962197,0.34397798059964696,ERK,ERK_example
0,3,482.0016064257028,157.2922636103152,0.3263314095086127,ERK,ERK_example
0,4,317.00199302441456,148.8154506437768,0.4694464196391203,ERK,ERK_example
0,all,408.8712594908441,160.17007481296758,0.39173718155788906,ERK,ERK_example
1,1,301.84122401847577,176.04293193717277,0.5832302479875882,ERK,ERK_example
1,2,462.1292747087561,163.10521582733813,0.3529428338642484,ERK,ERK_example
1,3,470.7539140907266,153.36415633937082,0.32578413423412034,ERK,ERK_example
1,4,304.8112370625924,141.4708423326134,0.4641260725685209,ERK,ERK_example
1,all,397.5793784359924,158.67763483424048,0.39910931864336247,ERK,ERK_example
2,1,296.7538994800693,170.797481636936,0.5755526108879562,ERK,ERK_example
2,2,443.6972993248312,163.85085354896677,0.36928521719265955,ERK,ERK_example
2,3,456.59991990388465,154.35570469798657,0.3380546030986576,ERK,ERK_example
2,4,295.12241887905606,138.68540540540542,0.46992500919504865,ERK,ERK_example
2,all,384.96718189964156,157.26648487853248,0.40851919922756125,ERK,ERK_example
3,1,294.72998246639395,176.2223404255319,0.5979111420930014,ERK,ERK_example
3,2,428.2134032197679,164.2392086330935,0.38354523094832366,ERK,ERK_example
3,3,448.67494989979957,154.91483253588515,0.3452718556506922,ERK,ERK_example
3,4,286.84123910939013,133.20238095238096,0.4643766752854625,ERK,ERK_example
3,all,375.7239181482724,157.48520268589903,0.41915139036677046,ERK,ERK_example
4,1,290.9607390300231,167.87909836065575,0.5769819629971896,ERK,ERK_example
4,2,410.980848666917,165.39675383228135,0.4024439444533061,ERK,ERK_example
4,3,440.03021756647865,154.14754098360655,0.3503112623403376,ERK,ERK_example
4,4,280.523,138.14826839826839,0.4924668151925809,ERK,ERK_example
4,all,366.2934549960572,156.889520514088,0.42831647241902465,ERK,ERK_example
5,1,288.4363896848138,166.55769230769232,0.5774503435218307,ERK,ERK_example
5,2,394.08589647411856,167.6889692585895,0.4255137541305095,ERK,ERK_example
5,3,428.82141422257934,153.7172248803828,0.3584644324702404,ERK,ERK_example
5,4,271.03414634146344,131.60010764262648,0.4855480736247512,ERK,ERK_example
5,all,354.9621229050279,155.441484063745,0.4379100586609187,ERK,ERK_example
6,1,284.55751708428244,163.15592515592516,0.5733671239041644,ERK,ERK_example
6,2,379.23533834586465,167.51845184518453,0.4417269038688763,ERK,ERK_example
6,3,421.2830112721417,154.48123195380174,0.3666922895545139,ERK,ERK_example
6,4,261.7880434782609,132.36393442622952,0.5056148961868885,ERK,ERK_example
6,all,345.67178395338414,155.12490687856965,0.4487635788621068,ERK,ERK_example
7,1,281.1912189485846,162.89002036659878,0.5792855871377085,ERK,ERK_example
7,2,364.07472775065713,168.4463480613165,0.46266970822726233,ERK,ERK_example
7,3,407.7853130016051,153.12655800575263,0.37550778099050836,ERK,ERK_example
7,4,252.29377145659637,128.50161117078412,0.5093332682328665,ERK,ERK_example
7,all,334.6667787114846,154.0248462484625,0.4602334502440917,ERK,ERK_example
8,1,278.98398169336383,160.74817898022891,0.5761914286423442,ERK,ERK_example
8,2,348.91757212439114,169.74144144144145,0.4864800600553521,ERK,ERK_example
8,3,399.79307568438,155.44827586206895,0.38882183138356524,ERK,ERK_example
8,4,245.3121301775148,126.34408602150538,0.515033993345862,ERK,ERK_example
8,all,325.8488072572517,153.938195302843,0.4724221536932361,ERK,ERK_example
9,1,275.2457971014493,159.41145833333334,0.5791603723365045,ERK,ERK_example
9,2,335.1441947565543,169.9865107913669,0.507204103340783,ERK,ERK_example
9,3,387.24074074074076,153.83652007648183,0.39726326259528566,ERK,ERK_example
9,4,236.39537173806008,123.77287405812702,0.523584168116771,ERK,ERK_example
9,all,315.562177328844,152.69532987398074,0.4838834969593285,ERK,ERK_example
10,1,273.12660443407236,159.9791013584117,0.5857323994119644,ERK,ERK_example
10,2,323.8336462636125,171.35283528352835,0.5291384550697392,ERK,ERK_example
10,3,381.64452495974234,153.12547892720306,0.40122540456555866,ERK,ERK_example
10,4,229.33017456359102,125.33297297297297,0.5465175841403258,ERK,ERK_example
10,all,308.85630498533726,153.3983155808769,0.4966656438765573,ERK,ERK_example
11,1,267.898401826484,154.14337851929093,0.5753799853540319,ERK,ERK_example
11,2,310.4895405304445,167.34158415841586,0.538960455390952,ERK,ERK_example
